;year;nr;name;land;str_cl;cars_r1;cars_r2;trucks_r1;trucks_r2
247;2016;9751;Herrieden (O);BY;A;28407;28661;7321;7397
248;2016;104;Homburg;SL;A;19233;19649;3149;3245
249;2016;102;Kahlenberg;SL;A;19691;18794;2102;1861
250;2016;7125;Kaiserslautern-Ost;RP;A;28705;28441;4365;4578
251;2016;7124;Kaiserslautern-West;RP;A;31259;31531;4291;4472
252;2016;7120;Landstuhl;RP;A;29646;29012;4043;4260
253;2016;7118;Miesau;RP;A;19077;17997;3173;3135
254;2016;8059;Neckarsulm 1;BW;A;50662;48543;9686;9548
255;2016;7343;PRE-Park;RP;A;18763;18081;2774;2955
256;2016;7155;Rheinbrücke Frankenthal;RP;A;;;;
257;2016;9055;Roth (W);BY;A;36354;36621;7686;7750
258;2016;107;SB-Goldene Bremm;SL;A;4777;4415;940;778
259;2016;9651;Schwabach-West;BY;A;32514;31879;7829;7856
260;2016;8091;Schwabbach;BW;A;32866;31525;7171;7395
261;2016;109;Sengscheid;SL;A;19858;19734;1961;1851
262;2016;9008;Waidhaus (O);BY;A;7506;7527;3087;3133
263;2016;8016;Walldorf;BW;A;46685;46639;8751;8980
264;2016;9097;AD Allgäu (S);BY;A;13833;14155;794;776
265;2016;2228;AD HH-Nordwest (N);HH;A;;;;
266;2016;2229;AD HH-Nordwest (S);HH;A;;;;
267;2016;6808;AD Hattenbach (N);HE;A;46924;46914;10338;9956
268;2016;6874;AD Hattenbach 3;HE;A;23738;23507;5437;5330
269;2016;9230;AD Hittistetten (S);BY;A;34908;34520;3410;3302
270;2016;9037;AK Biebelried (N);BY;A;19881;19834;4356;4509
271;2016;9452;AK Biebelried (S);BY;A;13311;12653;2410;2292
272;2016;9569;AK Feuchtw./Crailsh. (N);BY;A;14961;14100;2575;2433
273;2016;9568;AK Feuchtw./Crailsh. (S);BY;A;23188;22383;4286;4200
274;2016;9231;AK Memmingen (S);BY;A;18493;18933;1757;1732
275;2016;9534;AS Bad Windsheim;BY;A;14946;14367;2680;2607
276;2016;9531;AS Kitzingen;BY;A;14204;13691;2459;2386
277;2016;9532;AS Marktbreit;BY;A;;;;
278;2016;9697;AS Oy-Mittelberg (O);BY;A;12987;14202;796;833
279;2016;9696;AS Oy-Mittelberg (W);BY;A;10186;10175;667;642
280;2016;9535;AS Rothenburg o.d.T.;BY;A;15301;14567;2703;2606
281;2016;9533;AS Uffenh.-Langensteinach;BY;A;13866;13244;;
282;2016;9152;AS Wasserlosen;BY;A;22030;22762;4847;4947
283;2016;9529;AS Wasserlosen;BY;A;21620;21675;4689;4807
284;2016;3438;Altwarmbüchen;NI;A;37673;35269;6678;6438
285;2016;6806;Bad Hersfeld-West;HE;A;34536;33694;7302;6944
286;2016;3304;Berkhof;NI;A;;;;
287;2016;6814;Berndshausen;HE;A;34622;34752;7057;7175
288;2016;3301;Bispingen;NI;A;29923;29886;4889;4784
289;2016;9625;Bottenweiler;BY;A;15171;14153;2487;2350
290;2016;4602;Düderode;NI;A;25881;26340;4866;4743
291;2016;1106;Einfeld;SH;A;;;;
292;2016;2214;Elbtunnel;HH;A;;;;
293;2016;1109;Ellund;SH;A;9549;10273;2385;2461
294;2016;6877;Fulda-Nord;HE;A;23963;24102;5156;5218
295;2016;9020;Gramschatzer Wald (S);BY;A;30205;32110;5145;5381
296;2016;3430;Göttingen;NI;A;34548;34141;5541;5421
297;2016;3308;Hildesheim;NI;A;34005;31388;5334;4918
298;2016;1171;Hüsby;SH;A;20299;20552;3252;3295
299;2016;3437;Isernhagen;NI;A;39357;39229;6464;6333
300;2016;6800;Kassel-Nord (N);HE;A;38141;38458;8312;8143
301;2016;9530;Kreuz Schweinfurt/Werneck;BY;A;;;;
302;2016;8061;Langenau;BW;A;24324;24131;3272;3234
303;2016;3431;Lutterberg;NI;A;37543;37886;7598;7520
304;2016;6804;Melgershausen;HE;A;36850;37465;7251;7426
305;2016;1173;Moorkaten;SH;A;;;;
306;2016;9016;Nesselwang (W);BY;A;10173;10174;649;615
307;2016;1107;Owschlag;SH;A;22142;22388;3506;3545
308;2016;6883;Pilgerzell;HE;A;24856;23971;5280;5161
309;2016;1189;Schuby;SH;A;19121;19271;3207;3278
310;2016;9071;Tunnel Füssen;BY;A;8436;8216;555;531
311;2016;9072;Tunnel Reinertshof;BY;A;8679;8486;646;628
312;2016;9067;Uffenheim/Langenst. (N);BY;A;;;;
